,OVERALL,Player Name,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
SUCCESSFUL RAIDS %,37.6,darshan-kadian,,,0,,45.83,34.75,30,Puneri Paltan
NO OF SUPER RAIDS,2,darshan-kadian,,,0,,1,1,0,Puneri Paltan
SUPER 10S,1,darshan-kadian,,,0,,0,1,0,Puneri Paltan
TOTAL RAID POINTS,88,darshan-kadian,,,0,,33,49,6,Puneri Paltan
AVERAGE RAID POINTS / MATCH,2.31,darshan-kadian,,,0,,2.06,3.5,1,Puneri Paltan
NO OF SUPER TACKLES,3,darshan-kadian,,,0,,3,0,0,Puneri Paltan
HIGH 5S,0,darshan-kadian,,,0,,0,0,0,Puneri Paltan
TOTAL TACKLE POINTS,11,darshan-kadian,,,2,,7,1,1,Puneri Paltan
AVERAGE TACKLE / MATCH,0.21,darshan-kadian,,,1,,0.25,0.07,0.16,Puneri Paltan
TOTAL TACKLES,42,darshan-kadian,,,8,,23,3,8,Puneri Paltan
TACKLE STRIKE RATE,26.19 %,darshan-kadian,,,25 %,,30.43 %,33.33 %,12.5 %,Puneri Paltan
MATCHES PLAYED,1,emad-sedaghatnia,,,,,,,1,Puneri Paltan
TOTAL POINTS EARNED,1,emad-sedaghatnia,,,,,,,1,Puneri Paltan
MOST POINTS IN A MATCH,1,emad-sedaghatnia,,,,,,,1,Puneri Paltan
NOT OUT %,50 %,emad-sedaghatnia,,,,,,,50 %,Puneri Paltan
TOTAL RAIDS,4,emad-sedaghatnia,,,,,,,4,Puneri Paltan
SUCCESSFUL RAIDS %,25,emad-sedaghatnia,,,,,,,25,Puneri Paltan
NO OF SUPER RAIDS,0,emad-sedaghatnia,,,,,,,0,Puneri Paltan
SUPER 10S,0,emad-sedaghatnia,,,,,,,0,Puneri Paltan
TOTAL RAID POINTS,1,emad-sedaghatnia,,,,,,,1,Puneri Paltan
AVERAGE RAID POINTS / MATCH,1,emad-sedaghatnia,,,,,,,1,Puneri Paltan
NO OF SUPER TACKLES,0,emad-sedaghatnia,,,,,,,0,Puneri Paltan
HIGH 5S,0,emad-sedaghatnia,,,,,,,0,Puneri Paltan
TOTAL TACKLE POINTS,0,emad-sedaghatnia,,,,,,,0,Puneri Paltan
AVERAGE TACKLE / MATCH,0,emad-sedaghatnia,,,,,,,0,Puneri Paltan
TOTAL TACKLES,3,emad-sedaghatnia,,,,,,,3,Puneri Paltan
TACKLE STRIKE RATE,0,emad-sedaghatnia,,,,,,,0,Puneri Paltan
MATCHES PLAYED,41,manjeet,,,,,,22,19,Puneri Paltan
TOTAL POINTS EARNED,228,manjeet,,,,,,102,126,Puneri Paltan
MOST POINTS IN A MATCH,16,manjeet,,,,,,10,16,Puneri Paltan
NOT OUT %,74.4 %,manjeet,,,,,,72.48 %,75.96 %,Puneri Paltan
TOTAL RAIDS,422,manjeet,,,,,,189,233,Puneri Paltan
SUCCESSFUL RAIDS %,44.07,manjeet,,,,,,46.03,42.48,Puneri Paltan
NO OF SUPER RAIDS,5,manjeet,,,,,,3,2,Puneri Paltan
SUPER 10S,4,manjeet,,,,,,2,2,Puneri Paltan
TOTAL RAID POINTS,186,manjeet,,,,,,87,99,Puneri Paltan
AVERAGE RAID POINTS / MATCH,4.53,manjeet,,,,,,3.95,5.21,Puneri Paltan
NO OF SUPER TACKLES,2,manjeet,,,,,,1,1,Puneri Paltan
HIGH 5S,0,manjeet,,,,,,0,0,Puneri Paltan
TOTAL TACKLE POINTS,42,manjeet,,,,,,15,27,Puneri Paltan
AVERAGE TACKLE / MATCH,0.97,manjeet,,,,,,0.63,1.36,Puneri Paltan
TOTAL TACKLES,94,manjeet,,,,,,38,56,Puneri Paltan
TACKLE STRIKE RATE,44.68 %,manjeet,,,,,,39.47 %,48.21 %,Puneri Paltan
MATCHES PLAYED,65,nitin-tomar,,,10,12,20,11,12,Puneri Paltan
TOTAL POINTS EARNED,447,nitin-tomar,,,81,34,177,102,53,Puneri Paltan
MOST POINTS IN A MATCH,20,nitin-tomar,,,13,7,18,20,11,Puneri Paltan
NOT OUT %,82.19 %,nitin-tomar,,,84.37 %,74.1 %,86.23 %,83.24 %,74.16 %,Puneri Paltan
TOTAL RAIDS,910,nitin-tomar,,,160,112,327,191,120,Puneri Paltan
SUCCESSFUL RAIDS %,46.92,nitin-tomar,,,48.12,29.46,51.07,52.35,41.66,Puneri Paltan
NO OF SUPER RAIDS,10,nitin-tomar,,,1,1,7,1,0,Puneri Paltan
SUPER 10S,14,nitin-tomar,,,2,0,7,4,1,Puneri Paltan
TOTAL RAID POINTS,427,nitin-tomar,,,77,33,167,100,50,Puneri Paltan
AVERAGE RAID POINTS / MATCH,6.56,nitin-tomar,,,7.7,2.75,8.35,9.09,4.16,Puneri Paltan
NO OF SUPER TACKLES,2,nitin-tomar,,,1,0,1,0,0,Puneri Paltan
HIGH 5S,0,nitin-tomar,,,0,0,0,0,0,Puneri Paltan
TOTAL TACKLE POINTS,20,nitin-tomar,,,4,1,10,2,3,Puneri Paltan
AVERAGE TACKLE / MATCH,0.27,nitin-tomar,,,0.3,0.08,0.45,0.18,0.25,Puneri Paltan
TOTAL TACKLES,77,nitin-tomar,,,11,8,30,9,19,Puneri Paltan
TACKLE STRIKE RATE,25.97 %,nitin-tomar,,,36.36 %,12.5 %,33.33 %,22.22 %,15.78 %,Puneri Paltan
MATCHES PLAYED,16,pankaj-mohite,,,,,,,16,Puneri Paltan
TOTAL POINTS EARNED,113,pankaj-mohite,,,,,,,113,Puneri Paltan
MOST POINTS IN A MATCH,17,pankaj-mohite,,,,,,,17,Puneri Paltan
NOT OUT %,77.77 %,pankaj-mohite,,,,,,,77.77 %,Puneri Paltan
TOTAL RAIDS,207,pankaj-mohite,,,,,,,207,Puneri Paltan
SUCCESSFUL RAIDS %,53.14,pankaj-mohite,,,,,,,53.14,Puneri Paltan
NO OF SUPER RAIDS,4,pankaj-mohite,,,,,,,4,Puneri Paltan
SUPER 10S,3,pankaj-mohite,,,,,,,3,Puneri Paltan
TOTAL RAID POINTS,110,pankaj-mohite,,,,,,,110,Puneri Paltan
AVERAGE RAID POINTS / MATCH,6.87,pankaj-mohite,,,,,,,6.87,Puneri Paltan
NO OF SUPER TACKLES,0,pankaj-mohite,,,,,,,0,Puneri Paltan
HIGH 5S,0,pankaj-mohite,,,,,,,0,Puneri Paltan
TOTAL TACKLE POINTS,3,pankaj-mohite,,,,,,,3,Puneri Paltan
AVERAGE TACKLE / MATCH,0.18,pankaj-mohite,,,,,,,0.18,Puneri Paltan
TOTAL TACKLES,15,pankaj-mohite,,,,,,,15,Puneri Paltan
TACKLE STRIKE RATE,20 %,pankaj-mohite,,,,,,,20 %,Puneri Paltan
MATCHES PLAYED,74,pawan-kumar,10,10,5,9,21,13,6,Puneri Paltan
TOTAL POINTS EARNED,279,pawan-kumar,44,16,6,21,122,45,25,Puneri Paltan
MOST POINTS IN A MATCH,17,pawan-kumar,14,7,3,6,17,9,10,Puneri Paltan
NOT OUT %,75.49 %,pawan-kumar,72.41 %,61.9 %,80 %,75.75 %,75.7 %,80 %,79.66 %,Puneri Paltan
TOTAL RAIDS,653,pawan-kumar,87,42,25,66,284,90,59,Puneri Paltan
SUCCESSFUL RAIDS %,42.41,pawan-kumar,49.42,38.09,24,30.3,42.95,50,42.37,Puneri Paltan
NO OF SUPER RAIDS,4,pawan-kumar,0,1,0,0,2,1,0,Puneri Paltan
SUPER 10S,5,pawan-kumar,1,0,0,0,3,0,1,Puneri Paltan
TOTAL RAID POINTS,277,pawan-kumar,43,16,6,20,122,45,25,Puneri Paltan
AVERAGE RAID POINTS / MATCH,3.74,pawan-kumar,4.3,1.6,1.2,2.22,5.8,3.46,4.16,Puneri Paltan
NO OF SUPER TACKLES,0,pawan-kumar,0,0,0,0,0,0,0,Puneri Paltan
HIGH 5S,0,pawan-kumar,0,0,0,0,0,0,0,Puneri Paltan
TOTAL TACKLE POINTS,2,pawan-kumar,1,0,0,1,0,0,0,Puneri Paltan
AVERAGE TACKLE / MATCH,0.02,pawan-kumar,0.1,0,0,0.11,0,0,0,Puneri Paltan
TOTAL TACKLES,37,pawan-kumar,7,1,2,7,13,5,2,Puneri Paltan
TACKLE STRIKE RATE,5.4 %,pawan-kumar,14.28 %,0,0,14.28 %,0,0,0,Puneri Paltan
MATCHES PLAYED,15,r--sriram,,,,,11,3,1,Puneri Paltan
TOTAL POINTS EARNED,36,r--sriram,,,,,36,0,0,Puneri Paltan
MOST POINTS IN A MATCH,7,r--sriram,,,,,7,0,0,Puneri Paltan
NOT OUT %,67.41 %,r--sriram,,,,,70.88 %,0,66.66 %,Puneri Paltan
TOTAL RAIDS,89,r--sriram,,,,,79,4,6,Puneri Paltan
SUCCESSFUL RAIDS %,39.32,r--sriram,,,,,44.3,0,0,Puneri Paltan
NO OF SUPER RAIDS,0,r--sriram,,,,,0,0,0,Puneri Paltan
SUPER 10S,0,r--sriram,,,,,0,0,0,Puneri Paltan
TOTAL RAID POINTS,35,r--sriram,,,,,35,0,0,Puneri Paltan
AVERAGE RAID POINTS / MATCH,2.33,r--sriram,,,,,3.18,0,0,Puneri Paltan
NO OF SUPER TACKLES,0,r--sriram,,,,,0,0,0,Puneri Paltan
HIGH 5S,0,r--sriram,,,,,0,0,0,Puneri Paltan
TOTAL TACKLE POINTS,1,r--sriram,,,,,1,0,0,Puneri Paltan
AVERAGE TACKLE / MATCH,0.06,r--sriram,,,,,0.09,0,0,Puneri Paltan
TOTAL TACKLES,8,r--sriram,,,,,7,0,1,Puneri Paltan
TACKLE STRIKE RATE,12.5 %,r--sriram,,,,,14.28 %,0,0,Puneri Paltan
MATCHES PLAYED,8,sushant-sail,,,,,,,8,Puneri Paltan
TOTAL POINTS EARNED,8,sushant-sail,,,,,,,8,Puneri Paltan
MOST POINTS IN A MATCH,3,sushant-sail,,,,,,,3,Puneri Paltan
NOT OUT %,52.17 %,sushant-sail,,,,,,,52.17 %,Puneri Paltan
TOTAL RAIDS,23,sushant-sail,,,,,,,23,Puneri Paltan
SUCCESSFUL RAIDS %,34.78,sushant-sail,,,,,,,34.78,Puneri Paltan
NO OF SUPER RAIDS,0,sushant-sail,,,,,,,0,Puneri Paltan
SUPER 10S,0,sushant-sail,,,,,,,0,Puneri Paltan
TOTAL RAID POINTS,8,sushant-sail,,,,,,,8,Puneri Paltan
AVERAGE RAID POINTS / MATCH,1,sushant-sail,,,,,,,1,Puneri Paltan
NO OF SUPER TACKLES,0,sushant-sail,,,,,,,0,Puneri Paltan
HIGH 5S,0,sushant-sail,,,,,,,0,Puneri Paltan
TOTAL TACKLE POINTS,0,sushant-sail,,,,,,,0,Puneri Paltan
AVERAGE TACKLE / MATCH,0,sushant-sail,,,,,,,0,Puneri Paltan
TOTAL TACKLES,2,sushant-sail,,,,,,,2,Puneri Paltan
TACKLE STRIKE RATE,0,sushant-sail,,,,,,,0,Puneri Paltan
MATCHES PLAYED,7,deepak-yadav,,,,,4,0,3,Puneri Paltan
TOTAL POINTS EARNED,8,deepak-yadav,,,,,8,0,0,Puneri Paltan
MOST POINTS IN A MATCH,4,deepak-yadav,,,,,4,0,0,Puneri Paltan
NOT OUT %,50 %,deepak-yadav,,,,,50 %,0,0,Puneri Paltan
TOTAL RAIDS,2,deepak-yadav,,,,,2,0,0,Puneri Paltan
SUCCESSFUL RAIDS %,0,deepak-yadav,,,,,0,0,0,Puneri Paltan
NO OF SUPER RAIDS,0,deepak-yadav,,,,,0,0,0,Puneri Paltan
SUPER 10S,0,deepak-yadav,,,,,0,0,0,Puneri Paltan
TOTAL RAID POINTS,0,deepak-yadav,,,,,0,0,0,Puneri Paltan
AVERAGE RAID POINTS / MATCH,0,deepak-yadav,,,,,0,0,0,Puneri Paltan
NO OF SUPER TACKLES,1,deepak-yadav,,,,,1,0,0,Puneri Paltan
HIGH 5S,0,deepak-yadav,,,,,0,0,0,Puneri Paltan
TOTAL TACKLE POINTS,8,deepak-yadav,,,,,8,0,0,Puneri Paltan
AVERAGE TACKLE / MATCH,1,deepak-yadav,,,,,1.75,0,0,Puneri Paltan
TOTAL TACKLES,24,deepak-yadav,,,,,19,0,5,Puneri Paltan
TACKLE STRIKE RATE,33.33 %,deepak-yadav,,,,,42.1 %,0,0,Puneri Paltan
MATCHES PLAYED,17,jadhav-shahaji,,,,,,,17,Puneri Paltan
TOTAL POINTS EARNED,29,jadhav-shahaji,,,,,,,29,Puneri Paltan
MOST POINTS IN A MATCH,5,jadhav-shahaji,,,,,,,5,Puneri Paltan
NOT OUT %,0,jadhav-shahaji,,,,,,,0,Puneri Paltan
TOTAL RAIDS,0,jadhav-shahaji,,,,,,,0,Puneri Paltan
SUCCESSFUL RAIDS %,0,jadhav-shahaji,,,,,,,0,Puneri Paltan
NO OF SUPER RAIDS,0,jadhav-shahaji,,,,,,,0,Puneri Paltan
SUPER 10S,0,jadhav-shahaji,,,,,,,0,Puneri Paltan
TOTAL RAID POINTS,0,jadhav-shahaji,,,,,,,0,Puneri Paltan
AVERAGE RAID POINTS / MATCH,0,jadhav-shahaji,,,,,,,0,Puneri Paltan
NO OF SUPER TACKLES,5,jadhav-shahaji,,,,,,,5,Puneri Paltan
HIGH 5S,2,jadhav-shahaji,,,,,,,2,Puneri Paltan
TOTAL TACKLE POINTS,29,jadhav-shahaji,,,,,,,29,Puneri Paltan
AVERAGE TACKLE / MATCH,1.41,jadhav-shahaji,,,,,,,1.41,Puneri Paltan
TOTAL TACKLES,54,jadhav-shahaji,,,,,,,54,Puneri Paltan
TACKLE STRIKE RATE,53.7 %,jadhav-shahaji,,,,,,,53.7 %,Puneri Paltan
MATCHES PLAYED,28,hadi-tajik,,,1,1,9,5,12,Puneri Paltan
TOTAL POINTS EARNED,27,hadi-tajik,,,0,1,9,0,17,Puneri Paltan
MOST POINTS IN A MATCH,4,hadi-tajik,,,0,1,2,0,4,Puneri Paltan
NOT OUT %,50 %,hadi-tajik,,,0,0,41.66 %,0,66.66 %,Puneri Paltan
TOTAL RAIDS,18,hadi-tajik,,,0,0,12,0,6,Puneri Paltan
SUCCESSFUL RAIDS %,27.77,hadi-tajik,,,0,0,33.33,0,16.66,Puneri Paltan
NO OF SUPER RAIDS,0,hadi-tajik,,,0,0,0,0,0,Puneri Paltan
